Player Name,Player Jersey Number,Player Position,Player Age,Player Weight (lbs.),Years Played,"Player Birthplace (city, town, etc.)",Player Birth State,Player College,Player Team,Conference,2016 Population Estimates (except where otherwise noted),State GEO ID,Full GEOID,Latitude (player birthplace),Longitude (player birthplace)
Devin McCourty,#32,S/FS,30.0,195.0,8,Nanuet,New York,Rutgers,New England,AFC,18377,36.0,0400000US36,41.088707,-74.013473
Danny Amendola,#80,PR/WR/KR,32.0,190.0,9,The Woodlands,Texas,Texas Tech,New England,AFC,108373,48.0,0400000US48,30.173419,-95.504686
Johnson Bademosi,#29,CB/SPTM/RCB,27.0,206.0,6,Silver Spring,Maryland,Stanford,New England,AFC,78038,24.0,0400000US24,38.990666,-77.026088
Chris Hogan,#15,WR,29.0,210.0,5,Wyckoff,New Jersey,Monmouth,New England,AFC,17119,34.0,0400000US34,41.009542,-74.172922
James Develin,#46,RB/FB,29.0,255.0,5,Gilbertsville,Pennsylvania,Brown,New England,AFC,5084,42.0,0400000US42,40.320097,-75.610184
Cameron Fleming,#71,T/ROT,25.0,320.0,4,Fort Hood,Texas,Stanford,New England,AFC,28350,48.0,0400000US48,31.201439,-97.771758
Patrick Chung,#23,S/SS,30.0,215.0,9,Kingston,Jamaica,Oregon,New England,AFC,3.0 M (Jamaica),73.0,0400000US73,17.971215,-76.792813
Jonathan Jones,#31,CB/LCB,24.0,190.0,2,Carrollton,Georgia,Auburn,New England,AFC,26562,13.0,0400000US13,33.58011,-85.076611
Brandin Cooks,#14,WR,24.0,189.0,4,Stockton,California,Oregon State,New England,AFC,307072,6.0,0400000US06,37.957702,-121.29078
Phillip Dorsett,#13,WR/PR,25.0,185.0,3,Fort Lauderdale,Florida,Miami (FL),New England,AFC,178752,12.0,0400000US12,26.122308,-80.143379
James White,#28,RB,25.0,205.0,4,Fort Lauderdale,Florida,Wisconsin,New England,AFC,178752,12.0,0400000US12,26.122308,-80.143379
Rex Burkhead,#34,RB,27.0,210.0,5,Plano,Texas,Nebraska,New England,AFC,286057,48.0,0400000US48,33.013676,-96.69251
Julian Edelman,#11,WR,31.0,200.0,9,Redwood City,California,Kent State,New England,AFC,84950,6.0,0400000US06,37.485215,-122.236355
Jordan Richards,#37,S/SS,24.0,210.0,3,Sacramento,California,Stanford,New England,AFC,495234,6.0,0400000US06,38.581572,-121.4944
Malcolm Butler,#21,CB/LCB,27.0,190.0,4,Vicksburg,Mississippi,West Alabama,New England,AFC,22925,28.0,0400000US28,32.352842,-90.877734
Mike Gillislee,#35,RB,27.0,219.0,5,DeLand,Florida,Florida,New England,AFC,31569,12.0,0400000US12,29.019515,-81.294142
Dion Lewis,#33,RB/KR,27.0,195.0,6,Albany,New York,Pittsburgh,New England,AFC,98111,36.0,0400000US36,42.651167,-73.754968
Bernard Reedy,#17,WR,26.0,175.0,1,St. Petersburg,Florida,Toledo,New England,AFC,260999,12.0,0400000US12,27.770861,-82.679266
Elandon Roberts,#52,LB/RLB,23.0,235.0,2,Port Arthur,Texas,Houston,New England,AFC,55427,48.0,0400000US48,29.898826,-93.928781
Matthew Slater,#18,KR/WR,32.0,205.0,10,Orange,California,UCLA,New England,AFC,140504,6.0,0400000US06,33.750038,-117.870493
James Harrison,#92,LB/RDE,39.0,242.0,15,Akron,Ohio,Kent State,New England,AFC,197633,39.0,0400000US39,41.083064,-81.518485
Malcolm Mitchell,#19,WR,24.0,200.0,2,Valdosta,Georgia,Georgia,New England,AFC,56474,13.0,0400000US13,30.832702,-83.278485
Shaq Mason,#69,C/ROG,24.0,310.0,3,Columbia,Tennessee,Georgia Tech,New England,AFC,37540,47.0,0400000US47,35.615072,-87.035283
Eric Rowe,#25,CB/RCB,25.0,205.0,3,Cleveland,Ohio,Utah,New England,AFC,385809,39.0,0400000US39,41.505161,-81.693445
Duron Harmon,#30,S/FS,26.0,205.0,5,Magnolia,Delaware,Rutgers,New England,AFC,235,10.0,0400000US10,39.071799,-75.475577
Stephon Gilmore,#24,CB/RCB,27.0,190.0,6,Rock Hill,South Carolina,South Carolina,New England,AFC,72937,45.0,0400000US45,34.924867,-81.025078
Stephen Gostkowski,#3,K/KFG/KKO,33.0,215.0,12,Madison,Mississippi,Memphis,New England,AFC,26031,28.0,0400000US28,32.630868,-90.004082
Malcom Brown,#90,DT/RDT,23.0,320.0,3,Brenham,Texas,Texas,New England,AFC,16989,48.0,0400000US48,30.166883,-96.397744
Trey Flowers,#98,DE/RDE,24.0,265.0,3,Huntsville,Alabama,Arkansas,New England,AFC,193079,1.0,0400000US01,34.677972,-86.455462
Brandon King,#36,S/FS/SPTM,24.0,220.0,3,Alabaster,Alabama,Auburn,New England,AFC,32948,1.0,0400000US01,33.244281,-86.816377
Nicholas Grigsby,#50,LB/MLB,25.0,230.0,2,Trotwood,Ohio,Pittsburgh,New England,AFC,24331,39.0,0400000US39,39.797279,-84.311333
Ryan Allen,#6,P/HLD,27.0,220.0,5,Salem,Oregon,Louisiana Tech,New England,AFC,167419,41.0,0400000US41,44.939157,-123.033121
Brian Hoyer,#2,QB,32.0,215.0,9,North Olmsted,Ohio,Michigan State,New England,AFC,31817,39.0,0400000US39,41.415603,-81.923473
David Harris,#45,LB/MLB,33.0,250.0,11,Grand Rapids,Michigan,Michigan,New England,AFC,196445,26.0,0400000US26,42.96336,-85.668086
Eric Lee,#55,DE/RDE,23.0,260.0,1,Panama City,Florida,South Florida,New England,AFC,37635,12.0,0400000US12,30.160083,-85.654573
Vincent Valentine,#99,DT,23.0,320.0,2,Edwardsville,Illinois,Nebraska,New England,AFC,25071,17.0,0400000US17,38.811436,-89.953157
Joe Cardona,#49,LB/LS,25.0,245.0,3,El Cajon,California,Navy,New England,AFC,103768,6.0,0400000US06,32.794773,-116.962527
David Andrews,#60,C,25.0,295.0,3,Johns Creek,Georgia,Georgia,New England,AFC,83873,13.0,0400000US13,34.018156,-84.190196
Marquis Flowers,#59,LB/LLB,25.0,250.0,4,Phoenix,Arizona,Arizona,New England,AFC,1615017,4.0,0400000US04,33.446768,-112.075672
Kyle Van Noy,#53,LB/LLB,26.0,243.0,4,Reno,Nevada,Brigham Young,New England,AFC,245255,32.0,0400000US32,39.52927,-119.813674
Dwayne Allen,#83,TE,27.0,265.0,6,Fayetteville,North Carolina,Clemson,New England,AFC,204759,37.0,0400000US37,35.052993,-78.878706
Kenny Britt,#85,WR,29.0,223.0,9,Bayonne,New Jersey,Rutgers,New England,AFC,66238,34.0,0400000US34,40.668714,-74.114309
Ricky Jean Francois,#94,DT/LDE,31.0,313.0,9,Miami,Florida,LSU,New England,AFC,453579,12.0,0400000US12,25.774266,-80.193659
Caleb Kidder,#64,DE,23.0,269.0,R,Helena,Montana,Montana,New England,AFC,31169,30.0,0400000US30,46.592712,-112.036109
Ted Karras,#75,G/C,24.0,305.0,2,Chicago,Illinois,Illinois,New England,AFC,2704958,17.0,0400000US17,41.875555,-87.624421
Jacob Hollister,#47,TE,24.0,239.0,R,Bend,Oregon,Wyoming,New England,AFC,91122,41.0,0400000US41,44.058173,-121.31531
Geneo Grissom,#96,DE/LDE,25.0,265.0,3,Hutchinson,Kansas,Oklahoma,New England,AFC,41310,20.0,0400000US20,38.060844,-97.929774
Lawrence Guy,#93,DE/LDE,27.0,305.0,7,Las Vegas,Nevada,Arizona State,New England,AFC,632912,32.0,0400000US32,36.166286,-115.149225
Tom Brady,#12,QB,40.0,225.0,18,San Mateo,California,Michigan,New England,AFC,103959,6.0,0400000US06,37.496904,-122.333057
Derek Rivers,#95,DE,23.0,250.0,R,Kinston,North Carolina,Youngstown State,New England,AFC,20923,37.0,0400000US37,35.262664,-77.581635
Deatrich Wise Jr.,#91,DE/LDT,23.0,271.0,R,Carrollton,Texas,Arkansas,New England,AFC,133351,48.0,0400000US48,32.953735,-96.890282
Adam Butler,#70,DT/RDT,23.0,300.0,R,Duncanville,Texas,Vanderbilt,New England,AFC,39457,48.0,0400000US48,32.6518,-96.908337
Cole Croston,#74,T/LOG,24.0,315.0,R,Sergeant Bluff,Iowa,Iowa,New England,AFC,4551,19.0,0400000US19,42.403882,-96.35864
Joe Thuney,#62,G/LOG,25.0,305.0,2,Centerville,Ohio,North Carolina State,New England,AFC,23817,39.0,0400000US39,39.628393,-84.159382
LaAdrian Waddle,#68,T/LOT,26.0,315.0,5,College Station,Texas,Texas Tech,New England,AFC,112141,48.0,0400000US48,30.625346,-96.327154
Rob Gronkowski,#87,TE,28.0,265.0,8,Williamsville,New York,Arizona,New England,AFC,5236,36.0,0400000US36,42.963784,-78.737726
Martellus Bennett,#88,TE,30.0,275.0,10,Houston,Texas,Texas A&M,New England,AFC,2303482,48.0,0400000US48,29.758938,-95.367697
Alan Branch,#97,DT/LDT,33.0,350.0,11,Albuquerque,New Mexico,Michigan,New England,AFC,559277,35.0,0400000US35,35.084103,-106.650985
